06210,Плевен,Долна Митрополия,с. Брегаре
06224,Видин,Брегово,гр. Брегово
06238,Благоевград,Симитли,с. Брежани
06241,Габрово,Трявна,с. Брежниците
06255,Смолян,Рудозем,с. Бреза
06269,Смолян,Девин,с. Брезе
06272,София,Своге,с. Брезе
06286,Перник,Брезник,гр. Брезник
06306,Благоевград,Гоце Делчев,с. Брезница
06313,Перник,Брезник,с. Брезнишки извор
06327,София,Своге,с. Брезовдол
06344,Велико Търново,Елена,с. Брезово
06361,Пловдив,Брезово,гр. Брезово
06375,Плевен,Кнежа,с. Бреница
06389,Силистра,Тутракан,с. Бреница
06392,Кюстендил,Трекляно,с. Брест
06402,Плевен,Гулянци,с. Брест
06416,Варна,Вълчи дол,с. Брестак
06421,София,Мирково,с. Брестака
06433,Плевен,Червен бряг,с. Бресте
06447,Пловдив,Родопи,с. Брестник
06450,Ловеч,Ябланица,с. Брестница
06464,Добрич,Тервел,с. Брестница
06478,Стара Загора,Гурково,с. Брестова
06481,Разград,Завет,с. Брестовене
06495,Плевен,Плевен,с. Брестовец
06505,Пловдив,Родопи,с. Брестовица
06519,Русе,Борово,с. Брестовица
06522,Благоевград,Симитли,с. Брестово
06536,Ловеч,Ловеч,с. Брестово
06547,Хасково,Димитровград,с. Брод
06553,Бургас,Царево,с. Бродилово
06567,Кърджали,Кърджали,с. Брош
06570,Монтана,Брусарци,гр. Брусарци
06584,Хасково,Маджарово,с. Брусевци
06598,Враца,Мездра,с. Брусен
06608,София,Етрополе,с. Брусен
06625,Хасково,Ивайловград,с. Брусино
06639,Перник,Брезник,с. Брусник
06642,Габрово,Габрово,с. Брънеците
06662,Велико Търново,Елена,с. Бръчковци
06673,Русе,Сливо поле,с. Бръшлен
06687,Бургас,Малко Търново,с. Бръшлян
06690,Плевен,Плевен,с. Бръшляница
06700,Смолян,Доспат,с. Бръщен
06728,Кърджали,Крумовград,с. Бряговец
06731,Велико Търново,Стражица,с. Бряговица
06745,Пловдив,Първомай,с. Брягово
06759,Хасково,Хасково,с. Брягово
06762,Хасково,Димитровград,с. Бряст
06776,Бургас,Бургас,с. Брястовец
06788,Сливен,Нова Загора,с. Брястово
06793,Добрич,Балчик,с. Брястово
06803,Хасково,Минерални бани,с. Брястово
06817,Хасково,Ивайловград,с. Бубино
06848,Стара Загора,Казанлък,с. Бузовград
06851,София,Ихтиман,с. Бузяковци
06865,Шумен,Венец,с. Буйновица
06879,Смолян,Борино,с. Буйново
06882,Търговище,Търговище,с. Буйново
06896,Велико Търново,Елена,с. Буйновци
06906,Кърджали,Крумовград,с. Бук
06919,Търговище,Антоново,с. Букак
06923,Смолян,Смолян,с. Буката
